year;month_number;axe;composite_regularity;month;departure_punctuality
2017;4;Atlantique;89.20424865;2017-04;85.03453569
2017;7;Atlantique;81.0483871;2017-07;78.18908585
2017;2;Europe TGV;91.65;2017-02;78.92459827
2017;6;Europe TGV;87.69298633;2017-06;70.28047465
2017;10;Atlantique;89.18275959;2017-10;82.00883002
2017;9;Sud-Est;87.58833122;2017-09;82.90480864
2017;6;Sud-Est;84.74972992;2017-06;78.46964669
2017;5;Sud-Est;88.94146512;2017-05;82.98676749
2017;9;OUIGO;85.63134978;2017-09;70.69970845
2017;11;Est;93.14052651;2017-11;84.10059676
2015;8;Europe TGV;87.08133971;2015-08;66.7184265
2015;4;Europe TGV;91.22954259;2015-04;74.90832897
2015;5;Europe TGV;90.97550494;2015-05;74.6388443
2015;10;Atlantique;90.2762937;2015-10;85.99831508
2015;6;Sud-Est;86.90364827;2015-06;84.15189873
2015;9;Sud-Est;87.7557395;2015-09;85.63657998
2015;11;Sud-Est;90.76393237;2015-11;87.37682637
2015;9;Nord;90.97569098;2015-09;86.76056338
2015;7;Est;91.68451106;2015-07;83.70340999
2015;5;Est;95.24305556;2015-05;87.0506378
2017;1;Atlantique;89.86323411;2017-01;83.47398031
2017;1;Europe TGV;88.74321881;2017-01;75.30795073
2016;12;Europe TGV;90.63620072;2016-12;76.09539656
2017;2;Atlantique;90.8134142;2017-02;86.40077821
2016;9;Atlantique;84.29888084;2016-09;85.45388919
2016;8;Atlantique;87.54596323;2016-08;84.62623413
2017;1;OUIGO;86.94690265;2017-01;77.00892857
2017;2;Nord;93.36870027;2017-02;87.31707317
2016;10;OUIGO;86.78414097;2016-10;76.82119205
2016;9;Est;94.99632082;2016-09;85.99830795
2016;3;Europe TGV;91.91674734;2016-03;77.52873563
2015;12;Europe TGV;93.33333333;2015-12;72.92696321
2016;4;Sud-Est;92.85468911;2016-04;85.04742421
2016;2;Sud-Est;91.26945127;2016-02;86.1822087
2016;2;OUIGO;91.4893617;2016-02;81.66666667
2016;1;OUIGO;92.27373068;2016-01;82.30088496
2015;12;Sud-Est;93.72751447;2015-12;87.5
2016;1;Nord;92.92358804;2016-01;87.1899146
2016;6;Nord;83.5035944;2016-06;77.48837209
2016;3;Est;94.57937346;2016-03;89.27322192
2017;12;OUIGO;85.62019759;2017-12;67.58241758
2018;1;Atlantique;89.5;2018-01;86.3
2018;1;Nord;90.1;2018-01;85.1
2018;1;OUIGO;88.3;2018-01;74.08
2018;4;Est;91.7;2018-04;79
2018;4;Sud-Est;89.8;2018-04;82.4
2018;5;Atlantique;88.8;2018-05;82.3
2018;5;Nord;83.8;2018-05;80.7
2018;6;Est;87.6;2018-06;74
2018;6;Nord;85.5;2018-06;79.6
2018;2;OUIGO;88.8;2018-02;73.2
2018;3;Est;88.3;2018-03;79.1
2015;3;Nord;92.14659686;2015-03;87.9560612
2015;3;Est;94.57390146;2015-03;87.85321101
2018;7;Sud-Est;79.1;2018-07;87.4
2018;8;Sud-Est;85.7;2018-08;78.1
2018;11;Europe;87.1;2018-11;69.9
2018;10;Europe;88.9;2018-10;70.6
